Zeit;Kanal A
(ms);(mV)

1.18675117;4.46850300
1.19175117;3.53715500
1.19675117;3.16498500
1.20175117;3.35137800
1.20675117;3.72354800
1.21175117;2.97859200
1.21675117;3.90994000
1.22175117;2.79281500
1.22675117;3.72354800
1.23175117;4.28211100
1.23675117;4.28211100
1.24175117;3.35137800
1.24675117;3.90994000
1.25175117;3.90994000
1.25675117;3.90994000
1.26175117;4.28211100
1.26675117;3.90994000
1.27175117;4.09571800
1.27675117;3.16498500
1.28175117;2.79281500
1.28675117;3.35137800
1.29175117;2.79281500
1.29675117;3.16498500
1.30175117;2.04785900
1.30675117;1.67568900
1.31175117;1.11712600
1.31675117;1.48929600
1.32175117;0.37217020
1.32675117;-0.55856290
1.33175117;-0.55856290
1.33675117;-1.30290300
1.34175117;-2.42002900
1.34675117;-3.72354800
1.35175117;-4.46850300
1.35675117;-5.95780000
1.36175117;-6.88853300
1.36675117;-8.56422200
1.37175117;-9.49557100
1.37675117;-11.35704000
1.38175117;-13.77768000
1.38675117;-14.15047000
1.39175117;-15.45337000
1.39675117;-16.19833000
1.40175117;-16.19833000
1.40675117;-16.19833000
1.41175117;-15.26759000
1.41675117;-13.59190000
1.42175117;-11.54343000
1.42675117;-8.56422200
1.43175117;-6.70275500
1.43675117;-2.79281500
1.44175117;0.00000000
1.44675117;2.42002900
1.45175117;4.28211100
1.45675117;5.39923700
1.46175117;5.95780000
1.46675117;5.95780000
1.47175117;5.58562900
1.47675117;4.84067400
1.48175117;3.35137800
1.48675117;1.86146600
1.49175117;0.74434050
1.49675117;-0.74434050
1.50175117;-1.67568900
1.50675116;-1.67568900
1.51175116;-1.48929600
1.51675116;-1.11712600
1.52175116;-0.55856290
1.52675116;-1.48929600
1.53175116;1.67568900
1.53675116;1.86146600
1.54175116;2.79281500
1.54675116;2.97859200
1.55175116;4.65428200
1.55675116;4.46850300
1.56175116;5.02706700
1.56675116;5.58562900
1.57175116;5.21284400
1.57675116;4.84067400
1.58175116;3.90994000
1.58675116;3.35137800
1.59175116;3.35137800
1.59675116;2.60642200
1.60175116;0.00000000
1.60675116;2.04785900
1.61175116;1.48929600
1.61675116;1.11712600
1.62175116;0.74434050
1.62675116;1.30290300
1.63175116;1.48929600
1.63675116;0.37217020
1.64175116;0.00000000
1.64675116;-0.74434050
1.65175116;-2.04785900
1.65675116;-1.67568900
1.66175116;-4.09571800
1.66675116;-4.84067400
1.67175116;-6.32997000
1.67675116;-7.07492600
1.68175116;-7.81988100
1.68675116;-7.81988100
1.69175116;-8.93700700
1.69675116;-9.86774200
1.70175116;-8.56422200
1.70675116;-8.19205200
1.71175116;-7.63348900
1.71675116;-7.63348900
1.72175116;-7.07492600
1.72675116;-6.70275500
1.73175116;-6.51636300
1.73675116;-5.77140700
1.74175116;-6.14419300
1.74675116;-4.84067400
1.75175116;-5.02706700
1.75675116;-4.09571800
1.76175116;-4.84067400
1.76675116;-4.46850300
1.77175116;-3.16498500
1.77675116;-4.84067400
1.78175116;-5.02706700
1.78675116;-4.84067400
1.79175116;-5.58562900
1.79675116;-5.02706700
1.80175116;-5.95780000
1.80675116;-6.32997000
1.81175116;-7.26131900
1.81675116;-6.51636300
1.82175116;-6.88853300
1.82675116;-8.56422200
1.83175116;-8.19205200
1.83675116;-7.63348900
1.84175116;-8.56422200
1.84675116;-8.37844500
1.85175116;-10.05413000
1.85675116;-9.68134800
1.86175116;-10.61270000
1.86675116;-9.49557100
1.87175116;-11.35704000
1.87675116;-11.91621000
1.88175116;-11.72982000
1.88675116;-11.91621000
1.89175116;-11.54343000
1.89675116;-11.54343000
1.90175115;-10.98487000
1.90675115;-10.79847000
1.91175115;-11.91621000
1.91675115;-11.54343000
1.92175115;-11.91621000
1.92675115;-10.61270000
1.93175115;-10.98487000
1.93675115;-11.35704000
1.94175115;-10.42630000
1.94675115;-10.42630000
1.95175115;-8.75061500
1.95675115;-9.49557100
1.96175115;-8.00565900
1.96675115;-6.70275500
1.97175115;-5.77140700
1.97675115;-4.46850300
1.98175115;-3.90994000
1.98675115;-2.60642200
1.99175115;-2.97859200
1.99675115;-3.16498500
2.00175115;-1.48929600
2.00675115;-0.37217020
2.01175115;-1.11712600
2.01675115;-1.86146600
2.02175115;-1.67568900
2.02675115;-3.16498500
2.03175115;-2.97859200
2.03675115;-3.90994000
2.04175115;-4.46850300
2.04675115;-3.90994000
2.05175115;-3.90994000
2.05675115;-4.46850300
2.06175115;-3.72354800
2.06675115;-3.53715500
2.07175115;-3.53715500
2.07675115;-2.97859200
2.08175115;-1.67568900
2.08675115;-0.37217020
2.09175115;-0.18577760
2.09675115;1.86146600
2.10175115;2.79281500
2.10675115;4.09571800
2.11175115;5.95780000
2.11675115;6.51636300
2.12175115;6.51636300
2.12675115;7.44709600
2.13175115;7.07492600
2.13675115;6.70275500
2.14175115;5.95780000
2.14675115;5.58562900
2.15175115;4.65428200
2.15675115;3.72354800
2.16175115;2.42002900
2.16675115;2.79281500
2.17175115;1.11712600
2.17675115;1.48929600
2.18175115;1.48929600
2.18675115;0.93073320
2.19175115;1.30290300
2.19675115;2.04785900
2.20175115;2.04785900
2.20675115;2.04785900
2.21175115;2.04785900
2.21675115;3.16498500
2.22175115;3.53715500
2.22675115;3.16498500
2.23175115;3.53715500
2.23675115;3.72354800
2.24175115;2.97859200
2.24675115;2.97859200
2.25175115;3.90994000
2.25675115;3.53715500
2.26175115;3.90994000
2.26675115;3.90994000
2.27175115;4.65428200
2.27675115;4.28211100
2.28175115;3.35137800
2.28675115;5.58562900
2.29175115;5.39923700
2.29675114;6.14419300
2.30175114;6.14419300
2.30675114;5.77140700
2.31175114;5.39923700
2.31675114;6.14419300
2.32175114;5.95780000
2.32675114;4.65428200
2.33175114;5.02706700
2.33675114;4.65428200
2.34175114;4.46850300
2.34675114;2.97859200
2.35175114;2.97859200
2.35675114;2.97859200
2.36175114;3.72354800
2.36675114;2.97859200
2.37175114;4.84067400
2.37675114;5.21284400
2.38175114;6.32997000
2.38675114;7.26131900
2.39175114;8.37844500
2.39675114;8.75061500
2.40175114;8.75061500
2.40675114;10.42630000
2.41175114;11.35704000
2.41675114;12.28839000
2.42175114;12.10199000
2.42675114;12.84695000
2.43175114;11.72982000
2.43675114;12.28839000
2.44175114;12.47478000
2.44675114;11.72982000
2.45175114;9.30917700
2.45675114;10.42630000
2.46175114;10.23991000
2.46675114;11.72982000
2.47175114;10.05413000
2.47675114;9.86774200
2.48175114;9.49557100
2.48675114;9.49557100
2.49175114;9.86774200
2.49675114;9.86774200
2.50175114;8.93700700
2.50675114;10.05413000
2.51175114;9.86774200
2.51675114;9.68134800
2.52175114;8.37844500
2.52675114;8.19205200
2.53175114;7.26131900
2.53675114;6.70275500
2.54175114;6.51636300
2.54675114;6.51636300
2.55175114;5.21284400
2.55675114;4.84067400
2.56175114;4.84067400
2.56675114;4.46850300
2.57175114;4.46850300
2.57675114;4.84067400
2.58175114;4.84067400
2.58675114;4.28211100
2.59175114;5.02706700
2.59675114;5.39923700
2.60175114;4.84067400
2.60675114;4.84067400
2.61175114;6.14419300
2.61675114;4.65428200
2.62175114;6.14419300
2.62675114;5.21284400
2.63175114;4.84067400
2.63675114;3.90994000
2.64175114;4.84067400
2.64675114;4.28211100
2.65175114;3.72354800
2.65675114;3.35137800
2.66175114;3.53715500
2.66675114;3.35137800
2.67175114;2.97859200
2.67675114;2.97859200
2.68175114;2.97859200
2.68675114;3.53715500
2.69175113;3.53715500
2.69675113;4.28211100
2.70175113;4.28211100
2.70675113;4.46850300
2.71175113;3.72354800
2.71675113;3.90994000
2.72175113;3.35137800
2.72675113;3.53715500
2.73175113;2.04785900
2.73675113;2.42002900
2.74175113;1.11712600
2.74675113;1.30290300
2.75175113;0.37217020
2.75675113;0.74434050
2.76175113;-0.74434050
2.76675113;-1.11712600
2.77175113;-0.93073320
2.77675113;-1.48929600
2.78175113;-2.23425200
2.78675113;-1.67568900
2.79175113;-2.04785900
2.79675113;-3.90994000
2.80175113;-4.46850300
2.80675113;-5.77140700
2.81175113;-7.44709600
2.81675113;-7.63348900
2.82175113;-10.42630000
2.82675113;-12.10199000
2.83175113;-14.15047000
2.83675113;-14.15047000
2.84175113;-15.26759000
2.84675113;-16.19833000
2.85175113;-15.82616000
2.85675113;-14.70903000
2.86175113;-12.84695000
2.86675113;-10.98487000
2.87175113;-9.12278500
2.87675113;-5.58562900
2.88175113;-2.97859200
2.88675113;0.18577760
2.89175113;2.04785900
2.89675113;4.09571800
2.90175113;6.70275500
2.90675113;6.14419300
2.91175113;6.51636300
2.91675113;5.58562900
2.92175113;3.72354800
2.92675113;3.16498500
2.93175113;1.48929600
2.93675113;1.30290300
2.94175113;-0.18577760
2.94675113;-1.86146600
2.95175113;-2.23425200
2.95675113;-1.67568900
2.96175113;0.55856290
2.96675113;-0.93073320
2.97175113;-0.37217020
2.97675113;1.86146600
2.98175113;1.67568900
2.98675113;2.79281500
2.99175113;3.16498500
2.99675113;4.28211100
3.00175113;4.28211100
3.00675113;5.02706700
3.01175113;4.28211100
3.01675113;4.09571800
3.02175113;3.72354800
3.02675113;3.16498500
3.03175113;2.97859200
3.03675113;2.97859200
3.04175113;2.04785900
3.04675113;1.86146600
3.05175113;1.48929600
3.05675113;1.48929600
3.06175113;1.11712600
3.06675113;0.74434050
3.07175113;1.86146600
3.07675113;0.93073320
3.08175113;1.48929600
3.08675113;0.55856290
3.09175112;-1.11712600
3.09675112;-1.67568900
3.10175112;-2.04785900
3.10675112;-3.53715500
3.11175112;-5.02706700
3.11675112;-6.32997000
3.12175112;-7.07492600
3.12675112;-7.81988100
3.13175112;-8.19205200
3.13675112;-8.56422200
3.14175112;-8.56422200
3.14675112;-7.81988100
3.15175112;-8.37844500
3.15675112;-7.63348900
3.16175112;-7.26131900
3.16675112;-6.88853300
3.17175112;-6.70275500
3.17675112;-5.77140700
3.18175112;-5.02706700
3.18675112;-3.35137800
3.19175112;-4.46850300
3.19675112;-4.09571800
3.20175112;-3.16498500
3.20675112;-2.97859200
3.21175112;-4.09571800
3.21675112;-3.16498500
3.22175112;-3.72354800
3.22675112;-4.09571800
3.23175112;-4.65428200
3.23675112;-4.28211100
3.24175112;-5.02706700
3.24675112;-5.39923700
3.25175112;-5.58562900
3.25675112;-6.14419300
3.26175112;-6.51636300
3.26675112;-6.14419300
3.27175112;-6.32997000
3.27675112;-5.95780000
3.28175112;-7.07492600
3.28675112;-7.07492600
3.29175112;-7.81988100
3.29675112;-8.19205200
3.30175112;-9.68134800
3.30675112;-9.68134800
3.31175112;-10.98487000
3.31675112;-11.17126000
3.32175112;-12.10199000
3.32675112;-11.35704000
3.33175112;-12.28839000
3.33675112;-13.21912000
3.34175112;-11.91621000
3.34675112;-12.28839000
3.35175112;-12.47478000
3.35675112;-10.61270000
3.36175112;-11.35704000
3.36675112;-11.54343000
3.37175112;-11.35704000
3.37675112;-11.35704000
3.38175112;-10.61270000
3.38675112;-10.98487000
3.39175112;-10.79847000
3.39675112;-9.68134800
3.40175112;-9.12278500
3.40675112;-8.56422200
3.41175112;-7.07492600
3.41675112;-6.32997000
3.42175112;-5.02706700
3.42675112;-4.46850300
3.43175112;-3.53715500
3.43675112;-2.42002900
3.44175112;-2.23425200
3.44675112;-2.23425200
3.45175112;-1.67568900
3.45675112;-2.23425200
3.46175112;-2.04785900
3.46675112;-2.23425200
3.47175112;-3.53715500
3.47675112;-3.35137800
3.48175112;-4.46850300
3.48675111;-3.90994000
3.49175111;-3.90994000
3.49675111;-4.65428200
3.50175111;-4.84067400
3.50675111;-5.02706700
3.51175111;-3.90994000
3.51675111;-3.16498500
3.52175111;-3.35137800
3.52675111;-1.11712600
3.53175111;-0.37217020
3.53675111;1.11712600
3.54175111;2.23425200
3.54675111;3.53715500
3.55175111;4.84067400
3.55675111;5.77140700
3.56175111;7.26131900
3.56675111;7.63348900
3.57175111;8.56422200
3.57675111;9.30917700
3.58175111;8.93700700
3.58675111;8.56422200
3.59175111;7.26131900
3.59675111;6.70275500
3.60175111;5.21284400
3.60675111;4.28211100
3.61175111;3.90994000
3.61675111;1.86146600
3.62175111;2.42002900
3.62675111;2.42002900
3.63175111;1.48929600
3.63675111;0.93073320
3.64175111;2.42002900
3.64675111;2.04785900
3.65175111;2.42002900
3.65675111;2.97859200
3.66175111;2.42002900
3.66675111;3.72354800
3.67175111;3.90994000
3.67675111;3.53715500
3.68175111;3.90994000
3.68675111;4.84067400
3.69175111;3.72354800
3.69675111;5.39923700
3.70175111;5.02706700
3.70675111;5.21284400
3.71175111;4.65428200
3.71675111;5.21284400
3.72175111;5.21284400
3.72675111;4.84067400
3.73175111;5.77140700
3.73675111;6.32997000
3.74175111;6.14419300
3.74675111;6.88853300
3.75175111;7.26131900
3.75675111;6.70275500
3.76175111;6.32997000
3.76675111;5.77140700
3.77175111;5.58562900
3.77675111;5.39923700
3.78175111;6.51636300
3.78675111;4.09571800
3.79175111;3.72354800
3.79675111;3.72354800
3.80175111;3.90994000
3.80675111;3.72354800
3.81175111;4.28211100
3.81675111;4.28211100
3.82175111;4.84067400
3.82675111;6.14419300
3.83175111;6.88853300
3.83675111;7.81988100
3.84175111;8.56422200
3.84675111;9.30917700
3.85175111;10.42630000
3.85675111;10.79847000
3.86175111;12.84695000
3.86675111;12.10199000
3.87175111;12.84695000
3.87675111;13.03334000
3.88175110;13.21912000
3.88675110;12.66056000
3.89175110;13.03334000
3.89675110;12.66056000
3.90175110;12.66056000
3.90675110;12.10199000
3.91175110;11.72982000
